profile_id	source_product_id	source_product_name	target_product_id	target_product_name	split	rank	score	local_accord	visual_note	local_family	global_accord	global_family	cross_ref_global_to_local_accord	cross_ref_global_to_local_family	same_global_reference	sem_similar	enriched_cross_ref_bonus
7	7	Black Lax	78	Foreo Ice	train	8	3.663287	0.500000	0.000000	0.000000	1.076923	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
7	7	Black Lax	174	Badge	train	9	3.601786	0.857143	0.000000	0.000000	0.857143	1.250000	0.437500	0.000000	0.000000	0.000000	0.200000
7	7	Black Lax	226	Rose of The Sea	train	11	3.485256	1.333333	0.000000	0.000000	1.076923	0.000000	0.875000	0.000000	0.000000	0.000000	0.200000
7	7	Black Lax	311	Rafi Ahmad Touch Rafatar	train	12	3.485256	1.333333	0.000000	0.000000	1.076923	0.000000	0.875000	0.000000	0.000000	0.000000	0.200000
7	7	Black Lax	4	Fancy Dress	test	1	5.290385	1.333333	0.416667	1.500000	0.615385	0.000000	0.875000	0.000000	0.000000	0.350000	0.200000
7	7	Black Lax	8	Red Glass	test	4	4.313114	0.857143	0.416667	1.500000	0.352941	0.000000	0.636364	0.000000	0.000000	0.350000	0.200000
7	7	Black Lax	180	Oudhi	test	7	3.919697	0.500000	0.000000	0.000000	1.333333	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
7	7	Black Lax	26	Golden Secret	test	10	3.503030	0.750000	0.000000	0.000000	0.666667	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
8	8	Red Glass	213	Mirage Moon	train	2	5.182143	0.857143	0.000000	0.000000	2.000000	1.250000	0.875000	0.000000	0.000000	0.000000	0.200000
8	8	Red Glass	9	Classic Vintage	train	3	4.358120	0.222222	0.416667	1.500000	0.500000	1.250000	0.269231	0.000000	0.000000	0.000000	0.200000
8	8	Red Glass	3	Spicy Day	train	5	4.261310	0.857143	0.416667	1.500000	0.500000	0.000000	0.437500	0.000000	0.000000	0.350000	0.200000
8	8	Red Glass	0	Berrylicious	train	6	4.114251	0.857143	0.416667	1.500000	0.352941	0.000000	0.437500	0.000000	0.000000	0.350000	0.200000
8	8	Red Glass	226	Rose of The Sea	train	8	3.610173	0.857143	0.000000	0.000000	0.666667	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
